,date,state_id,cat_id,sell_price,value,total_sells
0,2011-01-29,CA,FOODS,5198.07,10101,52505705.07
1,2011-01-29,CA,HOBBIES,2650.17,1802,4775606.34
2,2011-01-29,CA,HOUSEHOLD,6465.94,2292,14819934.479999999
3,2011-01-30,CA,FOODS,5198.07,9862,51263366.339999996
4,2011-01-30,CA,HOBBIES,2650.17,1561,4136915.37
5,2011-01-30,CA,HOUSEHOLD,6465.94,2382,15401869.079999998
6,2011-01-31,CA,FOODS,5198.07,6944,36095398.08
7,2011-01-31,CA,HOBBIES,2650.17,1472,3901050.24
8,2011-01-31,CA,HOUSEHOLD,6465.94,1692,10940370.479999999
9,2011-02-01,CA,FOODS,5198.07,7864,40877622.48
10,2011-02-01,CA,HOBBIES,2650.17,1405,3723488.85
11,2011-02-01,CA,HOUSEHOLD,6465.94,1778,11496441.319999998
12,2011-02-02,CA,FOODS,5198.07,7178,37311746.46
13,2011-02-02,CA,HOBBIES,2650.17,1181,3129850.77
14,2011-02-02,CA,HOUSEHOLD,6465.94,1566,10125662.04
15,2011-02-03,CA,FOODS,5198.07,8256,42915265.919999994
16,2011-02-03,CA,HOBBIES,2650.17,1459,3866598.0300000003
17,2011-02-03,CA,HOUSEHOLD,6465.94,1607,10390765.58
18,2011-02-04,CA,FOODS,5198.07,9005,46808620.349999994
19,2011-02-04,CA,HOBBIES,2650.17,1314,3482323.38
20,2011-02-04,CA,HOUSEHOLD,6465.94,1932,12492196.08
21,2011-02-05,CA,FOODS,5466.22,11870,64884031.400000006
22,2011-02-05,CA,HOBBIES,2982.7,1986,5923642.199999999
23,2011-02-05,CA,HOUSEHOLD,7134.81,2754,19649266.740000002
24,2011-02-06,CA,FOODS,5466.22,10977,60002696.940000005
25,2011-02-06,CA,HOBBIES,2982.7,1482,4420361.399999999
26,2011-02-06,CA,HOUSEHOLD,7134.81,2237,15960569.97
27,2011-02-07,CA,FOODS,5466.22,8637,47211742.14
28,2011-02-07,CA,HOBBIES,2982.7,1508,4497911.6
29,2011-02-07,CA,HOUSEHOLD,7134.81,1677,11965076.370000001
30,2011-02-08,CA,FOODS,5466.22,7961,43516577.42
31,2011-02-08,CA,HOBBIES,2982.7,1381,4119108.6999999997
32,2011-02-08,CA,HOUSEHOLD,7134.81,1591,11351482.71
33,2011-02-09,CA,FOODS,5466.22,7625,41679927.5
34,2011-02-09,CA,HOBBIES,2982.7,1235,3683634.5
35,2011-02-09,CA,HOUSEHOLD,7134.81,1490,10630866.9
36,2011-02-10,CA,FOODS,5466.22,8147,44533294.34
37,2011-02-10,CA,HOBBIES,2982.7,1383,4125074.0999999996
38,2011-02-10,CA,HOUSEHOLD,7134.81,1674,11943671.940000001
39,2011-02-11,CA,FOODS,5466.22,7992,43686030.24
40,2011-02-11,CA,HOBBIES,2982.7,1388,4139987.5999999996
41,2011-02-11,CA,HOUSEHOLD,7134.81,1974,14084114.940000001
42,2011-02-12,CA,FOODS,5546.27,10129,56178168.830000006
43,2011-02-12,CA,HOBBIES,3182.31,1904,6059118.24
44,2011-02-12,CA,HOUSEHOLD,7526.84,2577,19396666.68
45,2011-02-13,CA,FOODS,5546.27,11109,61613513.43000001
46,2011-02-13,CA,HOBBIES,3182.31,1868,5944555.08
47,2011-02-13,CA,HOUSEHOLD,7526.84,2653,19968706.52
48,2011-02-14,CA,FOODS,5546.27,6483,35956468.410000004
49,2011-02-14,CA,HOBBIES,3182.31,1056,3360519.36
50,2011-02-14,CA,HOUSEHOLD,7526.84,1505,11327894.200000001
51,2011-02-15,CA,FOODS,5546.27,6336,35141166.720000006
52,2011-02-15,CA,HOBBIES,3182.31,1371,4362947.01
53,2011-02-15,CA,HOUSEHOLD,7526.84,1789,13465516.76
54,2011-02-16,CA,FOODS,5546.27,6266,34752927.82
55,2011-02-16,CA,HOBBIES,3182.31,941,2994553.71
56,2011-02-16,CA,HOUSEHOLD,7526.84,1637,12321437.08
57,2011-02-17,CA,FOODS,5546.27,5550,30781798.500000004
58,2011-02-17,CA,HOBBIES,3182.31,810,2577671.1
59,2011-02-17,CA,HOUSEHOLD,7526.84,1475,11102089.0
60,2011-02-18,CA,FOODS,5546.27,7188,39866588.760000005
61,2011-02-18,CA,HOBBIES,3182.31,1054,3354154.7399999998
62,2011-02-18,CA,HOUSEHOLD,7526.84,1783,13420355.72
63,2011-02-19,CA,FOODS,5632.51,9213,51892314.63
64,2011-02-19,CA,HOBBIES,3228.39,2017,6511662.63
65,2011-02-19,CA,HOUSEHOLD,7721.71,2640,20385314.4
66,2011-02-20,CA,FOODS,5632.51,9087,51182618.370000005
67,2011-02-20,CA,HOBBIES,3228.39,1577,5091171.03
68,2011-02-20,CA,HOUSEHOLD,7721.71,2801,21628509.71
69,2011-02-21,CA,FOODS,5632.51,7762,43719542.620000005
70,2011-02-21,CA,HOBBIES,3228.39,1748,5643225.72
71,2011-02-21,CA,HOUSEHOLD,7721.71,2487,19203892.77
72,2011-02-22,CA,FOODS,5632.51,5965,33597922.15
73,2011-02-22,CA,HOBBIES,3228.39,1393,4497147.27
74,2011-02-22,CA,HOUSEHOLD,7721.71,1772,13682870.12
75,2011-02-23,CA,FOODS,5632.51,5851,32955816.01
76,2011-02-23,CA,HOBBIES,3228.39,1401,4522974.39
77,2011-02-23,CA,HOUSEHOLD,7721.71,1689,13041968.19
78,2011-02-24,CA,FOODS,5632.51,5625,31682868.75
79,2011-02-24,CA,HOBBIES,3228.39,1300,4196907.0
80,2011-02-24,CA,HOUSEHOLD,7721.71,1589,12269797.19
81,2011-02-25,CA,FOODS,5632.51,6677,37608269.27
82,2011-02-25,CA,HOBBIES,3228.39,1356,4377696.84
83,2011-02-25,CA,HOUSEHOLD,7721.71,1814,14007181.94
84,2011-02-26,CA,FOODS,5751.51,9043,52010904.93
85,2011-02-26,CA,HOBBIES,3257.4,2144,6983865.600000001
86,2011-02-26,CA,HOUSEHOLD,7826.99,2465,19293530.349999998
87,2011-02-27,CA,FOODS,5751.51,8924,51326475.24
88,2011-02-27,CA,HOBBIES,3257.4,1099,3579882.6
89,2011-02-27,CA,HOUSEHOLD,7826.99,2468,19317011.32
90,2011-02-28,CA,FOODS,5751.51,6353,36539343.03
91,2011-02-28,CA,HOBBIES,3257.4,1064,3465873.6
92,2011-02-28,CA,HOUSEHOLD,7826.99,1779,13924215.209999999
93,2011-03-01,CA,FOODS,5751.51,7089,40772454.39
94,2011-03-01,CA,HOBBIES,3257.4,956,3114074.4
95,2011-03-01,CA,HOUSEHOLD,7826.99,1737,13595481.629999999
96,2011-03-02,CA,FOODS,5751.51,7000,40260570.0
97,2011-03-02,CA,HOBBIES,3257.4,809,2635236.6
98,2011-03-02,CA,HOUSEHOLD,7826.99,1728,13525038.719999999
99,2011-03-03,CA,FOODS,5751.51,7110,40893236.1
100,2011-03-03,CA,HOBBIES,3257.4,824,2684097.6
101,2011-03-03,CA,HOUSEHOLD,7826.99,1776,13900734.24
102,2011-03-04,CA,FOODS,5751.51,7764,44654723.64
103,2011-03-04,CA,HOBBIES,3257.4,852,2775304.8000000003
104,2011-03-04,CA,HOUSEHOLD,7826.99,1828,14307737.719999999
105,2011-03-05,CA,FOODS,5882.08,10179,59873692.32
106,2011-03-05,CA,HOBBIES,3337.57,1066,3557849.62
107,2011-03-05,CA,HOUSEHOLD,7936.02,2539,20149554.78
108,2011-03-06,CA,FOODS,5882.08,11221,66002819.68
